record_year,current_row_count,current_nb_row_count,current_residential_row_count,current_share_with_bbl,current_share_with_cd,current_share_with_council,current_share_with_latlon,current_distinct_permit_identifier_count,current_duplicate_permit_identifier_row_count,historical_row_count,historical_nb_row_count,historical_residential_row_count,historical_share_with_bbl,historical_share_with_cd,historical_share_with_council,historical_share_with_latlon,historical_distinct_permit_identifier_count,historical_duplicate_permit_identifier_row_count,current_minus_historical_rows,current_minus_historical_nb_rows,current_minus_historical_residential_rows,current_ge_historical_row_count_flag,current_ge_historical_nb_row_count_flag
1989,3672,56,514,1,0.9991830065359476,0.9978213507625272,0.9978213507625272,3672,0,3047,47,418,1,1,0.9977026583524778,0.9977026583524778,3044,6,625,9,96,TRUE,TRUE
1990,27209,910,4371,0.9999264949097724,0.9987871660112464,0.9963614980337387,0.9963614980337387,27209,0,23659,790,3788,0.9999577327866772,0.998309311467095,0.99581554588106,0.99581554588106,23631,50,3550,120,583,TRUE,TRUE
1991,50922,2953,8338,0.9999803621224618,0.9991555712658576,0.9951298063705276,0.9951298063705276,50922,0,45784,2672,7511,0.9999781583085794,0.9994102743316442,0.9943648436134894,0.9943648436134894,45753,60,5138,281,827,TRUE,TRUE
1992,57312,4871,11371,1,0.99911013400335,0.9930206588498046,0.9930206588498046,57312,0,52486,4457,10432,1,0.999828525702092,0.9925503943908852,0.9925503943908852,52459,53,4826,414,939,TRUE,TRUE
1993,62369,5973,12862,1,0.9988135131235067,0.9906203402331286,0.9906203402331286,62369,0,57928,5571,11955,1,0.9998273719099572,0.98943516088938,0.98943516088938,57911,34,4441,402,907,TRUE,TRUE
1994,65849,6280,12831,1,0.9985724916095916,0.9894151771477168,0.9894151771477168,65849,0,61050,5845,11934,1,0.99998361998362,0.9892219492219492,0.9892219492219492,61031,38,4799,435,897,TRUE,TRUE
1995,67542,7221,13743,1,0.9990820526487224,0.9933078676971366,0.9933078676971366,67542,0,63135,6736,12837,1,0.9998891264750138,0.9929516116258812,0.9929516116258812,63095,78,4407,485,906,TRUE,TRUE
1996,71127,8234,15618,1,0.9991704978418884,0.9958946672852784,0.9958946672852784,71127,0,66746,7708,14638,1,0.9999101069727024,0.9957600455458004,0.9957600455458004,66725,38,4381,526,980,TRUE,TRUE
1997,76865,9164,14538,1,0.9992324204774604,0.9963052104338777,0.9963052104338777,76865,0,72796,8630,13744,1,0.9999038408703776,0.9964421122039672,0.9964421122039672,72748,96,4069,534,794,TRUE,TRUE
1998,85420,10671,15638,0.99998829313978,0.9992975883867946,0.996698665417935,0.996698665417935,85420,0,82740,10298,15073,1,0.9999153976311336,0.9969301426154218,0.9969301426154218,82663,153,2680,373,565,TRUE,TRUE
1999,94306,13613,18948,0.9999893962208132,0.9996076601700846,0.9981019235255444,0.9981019235255444,94306,0,91859,13221,18430,1,0.999989113750422,0.9978336363339466,0.9978336363339466,91722,239,2447,392,518,TRUE,TRUE
2000,106202,16996,23111,0.9999152558332236,0.9991902224063576,0.9972411065704976,0.9972411065704976,106202,0,101503,16195,22033,0.9999901480744412,0.9999605922977646,0.9966601972355495,0.9966601972355495,101382,233,4699,801,1078,TRUE,TRUE
2001,108386,20460,27008,0.9998708320262764,0.9998062480394146,0.9985976048567158,0.9985976048567158,108386,0,105737,19976,26367,0.9999905425726094,0.9997446494604536,0.997607270870178,0.997607270870178,105540,376,2649,484,641,TRUE,TRUE
2002,116454,22647,30456,0.9996221684098442,0.9996651038178164,0.998394215741838,0.998394215741838,116454,0,111963,21694,29197,0.999919616301814,0.9996963282512972,0.9977939140608952,0.9977939140608952,111856,207,4491,953,1259,TRUE,TRUE
2003,127276,26861,35906,0.9994892988466012,0.999654294603853,0.997996480090512,0.997996480090512,127276,0,122632,25887,34606,0.9999510731293626,0.9998287559527692,0.9973824124209016,0.9973824124209016,122490,277,4644,974,1300,TRUE,TRUE
2004,143203,32643,43583,0.99930867370097,0.9991829780102373,0.9975908325942892,0.9975908325942892,143203,0,137668,31387,41869,0.9999491530348374,0.9999854722956678,0.9967094749687654,0.9967094749687654,137456,410,5535,1256,1714,TRUE,TRUE
2005,153794,36544,48579,0.9994213038219956,0.99912870463087,0.9978802814154,0.9978802814154,153794,0,150170,35727,47445,0.999946727042685,0.9999933408803356,0.9969834187920356,0.9969834187920356,149937,463,3624,817,1134,TRUE,TRUE
2006,159794,36873,49345,0.9996182585078288,0.9990425172409476,0.9982289697986158,0.9982289697986158,159794,0,155959,35951,48076,0.9999871761168,0.9999807641752,0.9972300412287844,0.9972300412287844,155580,744,3835,922,1269,TRUE,TRUE
2007,159597,33459,42958,0.9996679135572724,0.999805760759914,0.9990037406718172,0.9990037406718172,159597,0,158336,33229,42606,0.9999810529506872,1,0.9978147736459176,0.9978147736459176,158119,425,1261,230,352,TRUE,TRUE
2008,151881,25508,60326,0.9997958928371554,0.9995127764499838,0.997906255555336,0.997906255555336,151881,0,150437,25267,59735,0.9999601161948192,0.9984046477927636,0.9960714451896808,0.9960714451896808,150276,314,1444,241,591,TRUE,TRUE
2009,136705,19449,65097,0.9998610145934675,0.9994806334808528,0.9976445631103472,0.9976445631103472,136705,0,135825,19314,64647,1,0.9963629670531936,0.9956782624700902,0.9956782624700902,135599,431,880,135,450,TRUE,TRUE
2010,137249,15658,67680,0.9999125676689812,0.9998178493103776,0.9973770300694358,0.9973770300694358,137249,0,136259,15568,67176,1,0.996425924159138,0.9952296729023404,0.9952296729023404,134545,2733,990,90,504,TRUE,TRUE
2011,144954,13630,71375,0.9998620251941996,0.9998068352718792,0.9977303144445824,0.9977303144445824,144954,0,143966,13546,70853,1,0.9947209757859494,0.99603378575497,0.99603378575497,141908,3304,988,84,522,TRUE,TRUE
2012,149405,13533,73907,0.9999397610521736,0.9998393628057964,0.9977376928482984,0.9977376928482984,149405,0,148546,13470,73483,1,0.9961964643948676,0.995906991773592,0.995906991773592,146096,3918,859,63,424,TRUE,TRUE
2013,162404,15107,82074,0.9999876850323884,0.9998583778724662,0.9979557153764684,0.9979557153764684,162404,0,48295,4452,23919,1,0.9969769127238844,0.9958587845532664,0.9958587845532664,47445,1369,114109,10655,58155,TRUE,TRUE
